customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C2502,Female,0,No,No,11,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,22.42,270.0,No
C2503,Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),103.98,3214.18,No
C2504,Male,0,No,No,3,Yes,No,DSL,No,No internet service,Yes,Yes,No internet service,No,One year,Yes,Mailed check,56.98,174.13,Yes
C2505,Male,0,No,No,32,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Mailed check,92.54,3012.55,No
C2506,Female,0,No,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,81.06,3326.82,Yes
C2507,Female,0,No,Yes,8,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),88.82,748.88,No
C2508,Female,0,Yes,No,50,Yes,No phone service,No,Yes,No internet service,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),38.13,1849.01,No
C2509,Female,0,No,No,19,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,73.8,1439.35,No
C2510,Male,0,No,Yes,38,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),83.92,3211.44,Yes
C2511,Male,0,No,No,22,Yes,No,DSL,Yes,No internet service,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.32,1517.9,Yes
C2512,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No,One year,Yes,Electronic check,114.36,4577.6,No
C2513,Male,0,Yes,No,43,Yes,Yes,DSL,No,No internet service,No internet service,No,No internet service,No,Two year,Yes,Electronic check,19.66,798.47,No
C2514,Female,0,No,No,34,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),39.9,1411.37,Yes
C2515,Female,0,Yes,No,22,Yes,Yes,DSL,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,25.51,573.19,No
C2516,Male,1,Yes,No,57,Yes,No,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),116.27,6569.74,No
C2517,Male,1,No,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),41.86,1941.96,No
C2518,Female,0,No,No,57,Yes,Yes,No,No,No,Yes,No,No,No internet service,One year,No,Bank transfer (automatic),93.51,5394.97,No
C2519,Male,0,Yes,No,56,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Two year,Yes,Electronic check,32.86,1823.73,No
C2520,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),23.32,844.06,No
C2521,Male,0,No,Yes,27,Yes,No,No,No,No,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),37.48,1087.45,No
C2522,Male,0,Yes,Yes,63,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),46.17,2921.73,No
C2523,Male,0,Yes,Yes,61,Yes,No phone service,DSL,No,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),64.74,3944.7,No
C2524,Male,0,No,No,61,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,20.27,1192.14,No
C2525,Male,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),80.96,1969.32,Yes
C2526,Male,0,No,Yes,50,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,84.94,4305.47,No
C2527,Male,0,Yes,No,49,No,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Mailed check,47.67,2304.27,No
C2528,Female,0,No,No,35,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),45.02,1555.34,No
C2529,Female,0,Yes,No,25,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),37.42,960.7,No
C2530,Female,0,Yes,No,32,Yes,No,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.95,1329.92,No
C2531,Female,0,No,Yes,67,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,84.33,5637.05,No
C2532,Female,0,Yes,No,72,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,79.79,5702.16,No
C2533,Male,1,No,Yes,7,Yes,No,No,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),111.32,696.41,No
C2534,Male,0,No,No,65,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No internet service,Two year,Yes,Mailed check,102.4,6758.23,No
C2535,Female,1,Yes,No,22,Yes,No,No,Yes,Yes,No internet service,No,No,Yes,One year,Yes,Electronic check,76.75,1727.28,No
C2536,Male,1,No,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),35.07,2453.35,No
C2537,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,51.0,2667.24,Yes
C2538,Female,0,Yes,No,42,No,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),66.55,2772.3,No
C2539,Male,0,No,No,20,No,No,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,Yes,Mailed check,60.91,1230.68,No
C2540,Male,1,No,No,21,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,24.57,493.76,Yes
C2541,Male,0,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,54.54,390.45,No
C2542,Female,0,No,No,33,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,37.14,1163.94,No
C2543,Male,0,Yes,No,58,Yes,Yes,No,No,No,No,No,No internet service,Yes,One year,No,Electronic check,76.64,4445.48,Yes
C2544,Female,0,Yes,No,25,Yes,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),112.91,2805.81,No
C2545,Female,0,Yes,No,0,Yes,Yes,DSL,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,32.26,0.0,Yes
C2546,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,105.84,397.52,Yes
C2547,Male,0,Yes,No,40,No,No,DSL,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),44.74,1807.69,No
C2548,Male,1,Yes,No,62,No,No,DSL,No,No internet service,No internet service,No,Yes,Yes,One year,Yes,Mailed check,88.27,5400.87,No
C2549,Female,0,No,No,21,Yes,No phone service,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.95,1723.08,Yes
C2550,Male,1,No,Yes,67,No,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,40.25,2639.31,No
C2551,Male,0,No,No,47,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),55.68,2645.59,No
C2552,Male,0,Yes,No,65,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),73.77,4672.79,No
C2553,Female,0,No,No,15,Yes,No,No,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),111.01,1671.93,No
C2554,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,36.8,1895.89,No
C2555,Male,0,Yes,No,64,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,53.06,3444.51,No
C2556,Female,0,Yes,No,63,No,No,Fiber optic,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),119.43,7498.66,Yes
C2557,Male,0,Yes,No,67,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,98.54,6627.64,No
C2558,Male,1,Yes,Yes,62,Yes,No,No,No internet service,No,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,57.19,3548.29,No
C2559,Male,1,No,No,61,Yes,No,DSL,Yes,No,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,32.5,1942.49,No
C2560,Male,0,Yes,No,70,Yes,No,No,Yes,Yes,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),69.08,4801.98,No
C2561,Female,0,No,Yes,44,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,One year,No,Mailed check,77.54,3403.35,No
C2562,Female,0,Yes,No,51,Yes,Yes,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,44.35,2318.2,No
C2563,Female,0,Yes,No,64,Yes,No,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.63,5823.32,No
C2564,Male,1,No,No,1,Yes,No phone service,No,No,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,73.19,39.75,Yes
C2565,Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,55.43,2662.69,Yes
C2566,Male,0,Yes,Yes,21,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,47.54,929.53,Yes
C2567,Female,1,No,No,28,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.07,1284.12,No
C2568,Male,0,No,Yes,34,Yes,Yes,No,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),98.56,3350.91,No
C2569,Female,1,Yes,No,23,Yes,No,No,No internet service,No,Yes,No internet service,No,No,Two year,Yes,Electronic check,68.82,1523.49,No
C2570,Female,0,Yes,Yes,29,No,Yes,DSL,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.86,1340.01,Yes
C2571,Female,0,Yes,No,41,Yes,No,DSL,No,No,No,No,No,No internet service,Two year,Yes,Electronic check,98.42,4107.51,No
C2572,Female,0,No,Yes,70,No,No,DSL,No,No internet service,No,No,Yes,No internet service,Two year,Yes,Electronic check,20.22,1374.06,No
C2573,Female,0,Yes,Yes,49,No,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),119.53,5915.3,No
C2574,Female,0,No,No,70,No,Yes,No,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,108.65,7560.16,No
C2575,Male,0,No,Yes,59,Yes,No phone service,DSL,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),93.78,5438.34,No
C2576,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No internet service,Two year,No,Electronic check,45.17,1337.29,No
C2577,Female,0,No,No,11,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),108.77,1105.89,Yes
C2578,Female,0,Yes,No,48,Yes,No phone service,No,No,No,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,101.28,4866.57,No
C2579,Male,0,Yes,No,45,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,99.74,4450.09,No
C2580,Female,0,No,Yes,42,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,35.89,1576.9,Yes
C2581,Female,0,No,Yes,1,No,Yes,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.78,126.53,Yes
C2582,Male,0,No,No,53,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),109.8,5847.32,No
C2583,Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,69.45,2367.19,No
C2584,Female,0,No,No,51,Yes,No,DSL,No,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),74.26,3809.68,No
C2585,Female,0,No,No,32,Yes,Yes,DSL,No internet service,No,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,59.59,1967.19,Yes
C2586,Male,0,Yes,No,71,Yes,No,No,Yes,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),86.34,6068.57,Yes
C2587,Male,0,Yes,Yes,50,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),105.76,5229.32,No
C2588,Male,1,Yes,No,25,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.07,1757.41,Yes
C2589,Female,0,No,No,61,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No internet service,Two year,No,Electronic check,116.84,7130.59,No
C2590,Female,0,No,No,60,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),59.16,3631.62,No
C2591,Male,0,No,No,25,Yes,Yes,DSL,No,No,No,Yes,No internet service,No,Two year,Yes,Electronic check,30.38,796.84,No
C2592,Female,0,Yes,No,36,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),19.49,655.62,No
C2593,Female,1,Yes,Yes,29,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,Two year,No,Electronic check,77.06,2224.5,No
C2594,Female,0,No,No,10,Yes,No phone service,No,No internet service,No internet service,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),100.97,1016.34,No
C2595,Female,0,No,No,52,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.54,5344.34,Yes
C2596,Female,0,No,No,40,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,116.3,4634.77,Yes
C2597,Male,0,No,Yes,4,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,71.68,251.26,Yes
C2598,Female,0,Yes,Yes,65,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Credit card (automatic),39.44,2524.7,No
C2599,Male,0,Yes,No,12,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),87.18,981.42,Yes
C2600,Female,0,Yes,No,62,Yes,Yes,No,No,Yes,No internet service,No internet service,Yes,No,One year,Yes,Electronic check,109.08,6750.48,No
C2601,Male,0,No,No,24,Yes,Yes,DSL,No,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Mailed check,36.94,984.56,No
C2602,Female,0,Yes,No,43,Yes,No,DSL,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),53.48,2228.15,No
C2603,Male,0,No,No,13,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,97.88,1233.14,Yes
C2604,Female,0,No,No,68,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,41.94,2907.31,No
C2605,Male,0,No,No,58,Yes,No,No,No,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,109.66,6420.19,No
C2606,Female,1,Yes,No,55,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),103.92,5629.37,No
C2607,Male,0,Yes,Yes,51,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),69.52,3524.66,No
C2608,Female,1,No,Yes,65,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,119.77,7804.25,No
C2609,Male,0,Yes,No,67,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),48.11,3240.21,Yes
C2610,Male,0,No,No,11,Yes,No,No,No,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),113.01,1226.31,No
C2611,Female,0,No,Yes,67,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,No,One year,Yes,Mailed check,47.68,3248.74,No
C2612,Female,0,No,Yes,42,No,No,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,88.85,3764.69,Yes
C2613,Male,0,Yes,No,72,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),95.03,6818.72,No
C2614,Female,0,Yes,Yes,5,No,No,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,84.34,350.65,Yes
C2615,Male,0,No,No,14,Yes,No,DSL,No,No,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),72.72,1074.99,No
C2616,Male,1,Yes,No,41,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.57,3603.19,Yes
C2617,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,20.36,584.16,No
C2618,Female,0,Yes,No,52,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),107.87,5688.18,No
C2619,Male,0,Yes,Yes,5,Yes,Yes,DSL,Yes,No internet service,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),72.35,373.42,No
C2620,Male,0,No,No,32,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,No,Two year,No,Credit card (automatic),67.39,2169.05,No
C2621,Female,0,Yes,Yes,28,Yes,Yes,DSL,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),76.62,2244.3,Yes
C2622,Female,0,No,Yes,20,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,Yes,Two year,Yes,Mailed check,76.21,1606.64,No
C2623,Female,1,No,Yes,53,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,No,No,Two year,Yes,Mailed check,92.35,4842.01,No
C2624,Female,0,Yes,Yes,55,Yes,Yes,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),26.92,1493.49,No
C2625,Male,0,No,Yes,20,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,113.96,2324.19,Yes
C2626,Male,0,No,No,54,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,113.95,6125.14,No
C2627,Male,1,Yes,No,57,No,No,Fiber optic,Yes,No,No,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),19.28,1143.05,No
C2628,Male,0,No,No,63,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,71.46,4439.04,No
C2629,Female,0,No,No,45,No,No,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.75,4161.7,Yes
C2630,Male,0,Yes,No,21,Yes,No,No,No,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),46.53,1056.76,No
C2631,Male,0,Yes,No,59,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),83.19,4932.34,No
C2632,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No internet service,Two year,Yes,Electronic check,84.91,890.22,Yes
C2633,Male,0,Yes,No,46,Yes,Yes,DSL,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,40.16,1855.28,No
C2634,Male,0,Yes,No,30,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,39.48,1172.96,No
C2635,Male,0,No,No,17,Yes,Yes,DSL,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,94.74,1664.94,No
C2636,Male,0,No,No,21,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),90.35,1992.16,No
C2637,Male,0,Yes,No,55,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,Yes,Two year,Yes,Mailed check,106.04,5878.79,No
C2638,Male,0,Yes,No,16,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,One year,No,Electronic check,108.16,1716.51,Yes
C2639,Female,0,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),34.12,1351.38,No
C2640,Female,0,Yes,No,24,No,Yes,DSL,No,No internet service,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),99.92,2437.32,No
C2641,Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,85.73,2607.82,Yes
C2642,Male,0,No,No,14,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.78,1179.43,No
C2643,Female,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,45.57,554.18,No
C2644,Male,1,No,Yes,57,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,One year,Yes,Mailed check,102.56,5867.21,No
C2645,Male,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Two year,Yes,Electronic check,118.97,5766.98,No
C2646,Male,0,No,No,10,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),34.62,325.56,No
C2647,Female,0,Yes,No,12,Yes,Yes,DSL,No,Yes,No internet service,No,No,No,One year,No,Credit card (automatic),93.46,1129.04,Yes
C2648,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No,One year,Yes,Bank transfer (automatic),56.74,2745.02,Yes
C2649,Female,0,Yes,No,37,Yes,No,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,37.17,1359.99,Yes
C2650,Male,0,Yes,No,0,Yes,No phone service,No,No,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),32.12,79.99,No
C2651,Female,0,Yes,No,38,No,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,39.29,1463.74,Yes
C2652,Female,0,No,Yes,26,Yes,Yes,No,Yes,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,104.87,2756.93,No
C2653,Male,0,No,Yes,35,Yes,No,No,No,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),73.9,2621.65,Yes
C2654,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),108.97,3342.82,Yes
C2655,Male,0,Yes,No,40,Yes,No,DSL,No internet service,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,110.71,4405.49,Yes
C2656,Female,0,No,No,14,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,33.37,485.9,No
C2657,Male,1,No,No,30,Yes,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,82.12,2492.35,No
C2658,Male,1,Yes,No,5,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,23.22,75.1,Yes
C2659,Female,0,Yes,Yes,51,No,No,DSL,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),45.93,2388.11,No
C2660,Male,0,No,No,21,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,35.68,794.61,No
C2661,Male,0,No,No,30,Yes,Yes,DSL,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.55,3114.72,No
C2662,Female,0,No,No,72,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,55.21,3949.23,No
C2663,Male,0,Yes,No,45,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),119.33,5407.05,No
C2664,Male,0,No,No,66,Yes,No,No,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,32.41,2132.26,No
C2665,Female,0,Yes,No,42,Yes,No,DSL,Yes,No,No internet service,No,Yes,Yes,One year,Yes,Bank transfer (automatic),41.29,1759.46,No
C2666,Female,0,Yes,No,0,No,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Mailed check,83.78,81.16,Yes
C2667,Male,0,No,No,43,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,116.81,5048.33,Yes
C2668,Male,0,No,No,56,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),92.81,5166.58,No
C2669,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),30.83,174.67,Yes
C2670,Female,0,Yes,No,4,No,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,60.28,253.52,Yes
C2671,Male,1,No,Yes,8,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),119.61,972.37,No
C2672,Female,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,25.08,1047.63,No
C2673,Male,0,No,No,23,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),47.11,1008.13,No
C2674,Male,1,Yes,Yes,41,Yes,Yes,DSL,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),30.69,1255.7,No
C2675,Male,1,Yes,Yes,21,No,Yes,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),101.68,2099.55,Yes
C2676,Male,0,No,No,59,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,103.03,6154.01,Yes
C2677,Male,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Electronic check,53.05,1878.25,Yes
C2678,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),52.26,1944.55,No
C2679,Female,0,No,Yes,52,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),100.97,5249.79,Yes
C2680,Female,0,Yes,Yes,27,Yes,Yes,No,Yes,Yes,No internet service,No internet service,No,No,One year,Yes,Electronic check,34.08,894.48,No
